word,frequency
aback,1.189204
abase,0.073678
abate,0.740083
abbey,4.744804
abbot,3.177538
abhor,0.439976
abide,2.91047
abled,0.041114
abode,2.511747
abort,0.871397
about,963.500775
above,198.397165
abuse,27.181918
abyss,2.072307
acorn,0.610053
acrid,0.557551
actor,12.043742
acute,35.778339
adage,0.773816
adapt,7.313351
adept,2.050239
admin,1.053569
admit,18.203339
adobe,2.075379
adopt,14.070773
adore,1.178775
adorn,0.917205
adult,43.262093
affix,0.571373
afire,0.435021
afoot,0.773634
afoul,0.266786
after,570.155331
again,284.333785
agape,0.64624
agate,0.488776
agent,40.912928
agile,1.051488
aging,13.866228
aglow,0.300432
agony,4.525431
agora,0.4879
agree,33.931935
ahead,34.191099
aider,0.100245
aisle,2.731596
alarm,9.517808
album,4.283586
alert,9.562676
algae,3.797711
alibi,0.728278
alien,9.420378
align,2.221712
alike,13.546119
alive,26.139841
allay,0.825094
alley,3.803697
allot,0.318611
allow,64.275412
alloy,5.51447
aloft,1.531075
alone,101.161718
along,154.47139
aloof,1.987835
aloud,6.954466
alpha,7.969319
altar,8.066262
alter,14.155669
amass,0.382566
amaze,0.382633
amber,2.63463
amble,0.143111
amend,2.145842
amiss,0.935681
amity,0.603279
among,251.591316
ample,6.951798
amply,1.854396
amuse,1.469979
angel,11.505377
anger,24.936834
angle,30.834441
angry,21.832293
angst,0.530869
anime,0.13879
ankle,4.588537
annex,2.856953
annoy,0.813218
annul,0.383937
anode,2.494528
antic,0.180689
anvil,0.914826
aorta,4.075133
apart,39.489549
aphid,0.407198
aping,0.144074
apnea,1.266342
apple,9.854269
apply,45.380005
apron,2.258426
aptly,1.673719
arbor,4.675625
ardor,0.800185
arena,7.253186
argue,21.282856
arise,24.884137
armor,3.41113
aroma,1.520476
arose,13.399222
array,16.773741
arrow,11.585219
arson,0.858613
artsy,0.061794
ascot,0.191586
ashen,0.472405
aside,23.788701
askew,0.476171
assay,6.676279
asset,10.45507
atoll,0.553408
atone,0.597599
attic,3.018631
audio,8.041633
audit,6.72508
augur,0.274595
aunty,0.347683
avail,3.724362
avert,1.531246
avian,1.358715
avoid,55.145382
await,3.606395
